CF_ID,Name,Status,,
FED-60C8TF-C-001,COMMITTEE TO ELECT KEITH RUEHL,Closed (Pending),,
STA-5XZEV1-C-001,TREY JOHNSON FOR NC SENATE,Inactive,,
STA-C2904N-C-002,COMM TO RE-ELECT JUDGE JAYRENE RUSSELL MANESS,Inactive,,
STA-196F43-C-001,JUDGE MARK DAVIS COMM,Closed,,
STA-3D8I0F-C-001,JOHN R NANCE FOR DIST CT JUDGE,Closed,,
STA-9P88EC-C-001,WATAUGA CONSERVATIVES PAC,Closed (Pending),,
STA-C3006N-C-001,COMM TO ELECT WENDY M ENOCHS,Inactive,,
STA-314JJ8-C-001,CHARLES WARREN FOR NC HOUSE OF REPRESENTATIVES,Closed,,
STA-N12J20-C-001,DAWKINS FOR NC HOUSE,Closed,,
STA-XP65PV-C-001,KEEP ALLEN BADDOUR SUPERIOR CT JUDGE,Closed,,
STA-N775A3-C-001,RICHARD JOHNSON FOR NC HOUSE,Closed,,
STA-C4198N-C-001,BLADEN REC,Active (Non-Exempt),,
FED-069O0B-C-001,CHRIS ANDRADE FOR CONGRESS,Closed,,
STA-MZS93B-C-001,CANDIDATE FOR NC HOUSE WILLIAM STINSON,Closed,,
STA-C2430N-C-002,COMM TO RE-ELECT JUDGE BOB BELL,Closed,,
STA-7DTN28-C-001,SCOTT FOR NC ( A BRADLEY SCOTT),Inactive,,
STA-13D72X-C-001,MATT NEWTON CAMPAIGN COMMITTEE,Closed (Pending),,
STA-2B6352-C-001,CABARRUS RW,Active (Non-Exempt),,
STA-QU4473-C-001,CONSTANCE L JOHNSON TO UNIFY AND UPLIFT,Closed,,
STA-C2550N-C-002,COMM TO RE-ELECT JUDGE HARDISON,Closed,,
STA-VJW0HH-C-001,COMM TO ELECT JASON WHITE SUPERIOR COURT JUDGE,Closed,,
STA-3WU136-C-001,IAN BALTUTIS FOR NC HOUSE 63 ,Closed (Pending),,
FED-B636XR-C-001,EDISON LEARNING INC PAC,Closed (Pending),,
STA-YY8QF6-C-003,ERVIN FOR SUPREME COURT ,Closed,,
STA-C4332N-C-001,YANCEY RW,Closed,,
STA-C2696N-C-001,COMM TO RE-ELECT JUDGE J STANLEY CARMICAL,Inactive,,
FED-D663W0-C-001,ALCOA INC EMPLOYEES VOLUNTARY STATE AND FEDERAL PAC,Closed (Pending),,
STA-4YL4O4-C-001,YANCEY YR,Closed (Pending),,
FED-823689-C-001,SHEETZ INC PAC,Closed (Pending),,
STA-C2276N-C-004,MARCUS WILLIAMS FOR NC SENATE,Closed,,
STA-VGOCR6-C-001,COMM TO ELECT GARRY MEIGGS,Closed (Pending),,
STA-C3652N-C-001,LILLIANS LIST OF NC,Closed (Pending),,
STA-U1PA89-C-001,JENNIFER KNOX FOR DIST CT JUDGE,Inactive,,
STA-F9Z576-C-001,COMM TO ELECT FRED BIGGERS,Closed,,
STA-C2816N-C-002,COMM TO ELECT REBECCA KNIGHT DISTRICT ATTORNEY,Closed,,
STA-C4037N-C-001,WAYNE DW,Active (Non-Exempt),,
STA-C2984N-C-003,COMM TO RE-ELECT JUDGE SARAH C SEATON,Closed,,
STA-667W7J-C-001,CONCERNED CITIZENS OF THE BLUE RIDGE,Conditionally Closed,,
STA-A4K551-C-001,COMM TO ELECT HAROLD W SKIPPER GOVERNOR,Closed (Pending),,
STA-C3281N-C-001,JEFFERSON PILOT STATE GOOD GOVT COMM,Closed,,
STA-C2150N-C-007,HOWE FOR GOVERNOR,Closed (Pending),,
STA-C3903N-C-001,MADISON DEC,Active (Non-Exempt),,
FED-Q7EQP0-C-001,MARCUS BRANDON FOR CONGRESS,Closed,,
STA-L85232-C-001,ALLEN THOMAS FOR NC SENATE,Closed,,
STA-DB4299-C-001,WILLIAM DAVID AYERS FOR SENATE,Closed,,
STA-3502C4-C-001,VERMILLION FOR SENATE,Closed,,
STA-6LW1I1-C-001,MOTT BLAIR FOR NC HOUSE,Closed,,
