Committee_Name,Report_Year,Report_Type,Is Amendment,,
MCHENRY FOR CONGRESS,2010,First Quarter,X,,
MCHENRY FOR CONGRESS,2010,Fourth Quarter,,,
MCHENRY FOR CONGRESS,2010,Second Quarter,,,
MCHENRY FOR CONGRESS,2010,Third Quarter,,,
MCHENRY FOR CONGRESS,2011,Mid Year Semi-Annual,,,
MCHENRY FOR CONGRESS,2018,Organizational,,,
MCHENRY FOR CONGRESS,2020,Fourth Quarter,,,
MCHENRY FOR CONGRESS,2020,Second Quarter,,,
MCI WORLDCOM NC PAC,2004,First Quarter,X,,
MCI WORLDCOM NC PAC,2004,Second Quarter,X,,
MCINNIS FOR STATE SENATE,2016,Fourth Quarter,X,,
MCKISSICK FOR NC SENATE,2010,Fourth Quarter,X,,
MCKISSICK FOR NC SENATE,2013,Mid Year Semi-Annual,,,
MCKISSICK FOR NC SENATE,2013,Year End Semi-Annual,,,
MCKISSICK FOR NC SENATE,2014,First Quarter,,,
MCKISSICK FOR NC SENATE,2014,Fourth Quarter,,,
MCKISSICK FOR NC SENATE,2014,Second Quarter,,,
MCKISSICK FOR NC SENATE,2014,Third Quarter,,,
MCKOY FOR NCGA 110 DIST,2012,First Quarter,X,,
MCKOY FOR NCGA 110 DIST,2012,Organizational,X,,
MCKOY FOR NCGA 110 DIST,2012,Second Quarter,X,,
MCLANE COMP INC FED PAC,2009,Year End Semi-Annual,,,
MCLANE COMP INC FED PAC,2010,First Quarter,,,
MCLANE COMP INC FED PAC,2010,Fourth Quarter,,,
MCLANE COMP INC FED PAC,2010,Second Quarter,,,
MCLANE COMP INC FED PAC,2010,Third Quarter,,,
MCLANE COMP INC FED PAC,2011,Mid Year Semi-Annual,,,
MCLANE COMP INC FED PAC,2011,Year End Semi-Annual,,,
MCLANE COMP INC FED PAC,2012,First Quarter,,,
MCLANE COMP INC FED PAC,2012,Fourth Quarter,,,
MCLANE COMP INC FED PAC,2012,Second Quarter,,,
MCLANE COMP INC FED PAC,2012,Third Quarter,,,
MCLANE COMP INC FED PAC,2014,First Quarter,,,
MCLANE COMP INC FED PAC,2014,Fourth Quarter,,,
MCLANE COMP INC FED PAC,2014,Second Quarter,,,
MCLANE COMP INC FED PAC,2014,Third Quarter,,,
MCLANE COMP INC FED PAC,2015,Mid Year Semi-Annual,,,
MCLANE COMP INC FED PAC,2015,Year End Semi-Annual,,,
MCLANE COMP INC FED PAC,2016,First Quarter,,,
MCLANE COMP INC FED PAC,2016,Fourth Quarter,,,
MCLANE COMP INC FED PAC,2016,Second Quarter,,,
MCLANE COMP INC FED PAC,2016,Third Quarter,,,
MCLANE COMP INC FED PAC,2017,Mid Year Semi-Annual,,,
MCLAUGHLIN FOR INSURANCE COMMISSIONER,2015,Organizational,,,
MCLAUGHLIN FOR INSURANCE COMMISSIONER,2016,Second Quarter,,,
MCM CORP PAC NC,2004,Year End Semi-Annual,,,
MCNEIL FEDERATED RW,2010,First Quarter,,,
MCNEIL FEDERATED RW,2010,Fourth Quarter,,,
MCNEIL FEDERATED RW,2010,Second Quarter,,,
MCNEIL FEDERATED RW,2010,Third Quarter,,,
MCNEIL FEDERATED RW,2011,Mid Year Semi-Annual,,,
MCNEILL FEDERATED RW,2011,Year End Semi-Annual,,,
MCNEILL FEDERATED RW,2012,First Quarter,,,
MCNEILL FEDERATED RW,2012,Fourth Quarter,,,
MCNEILL FEDERATED RW,2012,Second Quarter,,,
MCNEILL FEDERATED RW,2012,Third Quarter,,,
MCNEILL FEDERATED RW,2013,Mid Year Semi-Annual,,,
MCNEILL FEDERATED RW,2013,Year End Semi-Annual,,,
MCNEILL FEDERATED RW,2014,First Quarter,,,
MCNEILL FEDERATED RW,2014,Fourth Quarter,,,
MCNEILL FEDERATED RW,2014,Mid Year Semi-Annual,,,
MCNEILL FEDERATED RW,2014,Second Quarter,,,
MCNEILL FEDERATED RW,2014,Second Quarter,X,,
MCNEILL FEDERATED RW,2014,Third Quarter,,,
MCNEILL FEDERATED RW,2015,Mid Year Semi-Annual,,,
MCNEILL FEDERATED RW,2015,Year End Semi-Annual,,,
MCNEILL FEDERATED RW,2016,First Quarter,,,
MCNEILL FEDERATED RW,2016,Fourth Quarter,,,
MCNEILL FEDERATED RW,2016,Second Quarter,,,
MCNEILL FEDERATED RW,2016,Third Quarter,,,
MCNEILL FEDERATED RW,2018,First Quarter,,,
MCNEILL FEDERATED RW,2018,Fourth Quarter,,,
MCNEILL FEDERATED RW,2018,Second Quarter,,,
MCNEILL FEDERATED RW,2018,Third Quarter,,,
MCNEILL FEDERATED RW,2019,Mid Year Semi-Annual,,,
MCNEILL FEDERATED RW,2019,Year End Semi-Annual,,,
MCNEILL FEDERATED RW,2019,Year End Semi-Annual,X,,
MCNEILL FEDERATED RW,2020,First Quarter,,,
MCNEILL FEDERATED RW,2020,Fourth Quarter,,,
MCNEILL FEDERATED RW,2020,Second Quarter,,,
MEADER HARRISS FOR DISTRICT COURT JUDGE,2013,Year End Semi-Annual,,,
MEADER HARRISS FOR DISTRICT COURT JUDGE,2014,First Quarter,,,
MEADER HARRISS FOR DISTRICT COURT JUDGE,2014,Fourth Quarter,,,
MEADER HARRISS FOR DISTRICT COURT JUDGE,2014,Second Quarter,,,
MEADER HARRISS FOR DISTRICT COURT JUDGE,2014,Third Quarter,,,
MEADOWS FOR CONGRESS,2011,Mid Year Semi-Annual,,,
MEADOWS FOR CONGRESS,2012,First Quarter,,,
MEADOWS FOR CONGRESS,2012,Fourth Quarter,,,
MEADOWS FOR CONGRESS,2012,Second Quarter,,,
MEADOWS FOR CONGRESS,2012,Third Quarter,,,
MEADOWS FOR CONGRESS,2013,Mid Year Semi-Annual,,,
MEADOWS FOR CONGRESS,2013,Year End Semi-Annual,,,
MEADOWS FOR CONGRESS,2014,First Quarter,,,
MEADOWS FOR CONGRESS,2014,Fourth Quarter,,,
MEADOWS FOR CONGRESS,2014,Second Quarter,,,
MEADOWS FOR CONGRESS,2014,Third Quarter,,,
MEADOWS FOR CONGRESS,2015,Mid Year Semi-Annual,,,
MEADOWS FOR CONGRESS,2015,Year End Semi-Annual,,,
MEADOWS FOR CONGRESS,2016,First Quarter,,,
MEADOWS FOR CONGRESS,2016,Fourth Quarter,,,
MEADOWS FOR CONGRESS,2016,Second Quarter,,,
MEADOWS FOR CONGRESS,2016,Third Quarter,,,
MECK PAC,2016,Fourth Quarter,,,
MECK PAC,2016,Second Quarter,,,
MECK PAC,2019,Mid Year Semi-Annual,,,
MECK PAC,2019,Year End Semi-Annual,,,
MECK PAC,2020,First Quarter,,,
MECK PAC,2020,Fourth Quarter,,,
MECK PAC,2020,Second Quarter,,,
MECK PAC (FKA MECKLENBURG CTY MEDICAL SOCIETY PAC),2014,First Quarter,,,
MECK PAC (FKA MECKLENBURG CTY MEDICAL SOCIETY PAC),2014,Fourth Quarter,,,
MECK PAC (FKA MECKLENBURG CTY MEDICAL SOCIETY PAC),2014,Second Quarter,,,
MECK PAC (FKA MECKLENBURG CTY MEDICAL SOCIETY PAC),2014,Third Quarter,,,
MECK PAC (FKA MECKLENBURG CTY MEDICAL SOCIETY PAC),2015,Mid Year Semi-Annual,,,
MECK PAC (FKA MECKLENBURG CTY MEDICAL SOCIETY PAC),2015,Year End Semi-Annual,,,
MECK PAC (FKA MECKLENBURG CTY MEDICAL SOCIETY PAC),2016,First Quarter,,,
MECKLENBURG 210 PD,2011,Organizational,,,
MECKLENBURG 210 PD,2011,Organizational,X,,
MECKLENBURG 210 PD,2011,Year End Semi-Annual,,,
MECKLENBURG 210 PD,2012,First Quarter,,,
MECKLENBURG 210 PD,2012,Fourth Quarter,,,
MECKLENBURG 210 PD,2012,Second Quarter,,,
MECKLENBURG 210 PD,2012,Third Quarter,,,
MECKLENBURG 210 PD,2013,Mid Year Semi-Annual,,,
MECKLENBURG 210 PD,2013,Year End Semi-Annual,,,
MECKLENBURG 210 PD,2014,First Quarter,,,
MECKLENBURG 210 PD,2014,Fourth Quarter,,,
MECKLENBURG 210 PD,2014,Second Quarter,,,
MECKLENBURG 210 PD,2014,Third Quarter,,,
MECKLENBURG AFRICAN AMERICAN CAUCUS,2008,Final,,,
MECKLENBURG BLACK REP COUNCIL,2003,Mid Year Semi-Annual,,,
MECKLENBURG BLACK REP COUNCIL,2003,Organizational,,,
MECKLENBURG BLACK REP COUNCIL,2004,Second Quarter,X,,
MECKLENBURG BLACK REPUBLICAN CLUB,2020,Second Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2015,Mid Year Semi-Annual,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2015,Year End Semi-Annual,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2016,First Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2016,Fourth Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2016,Second Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2016,Third Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2018,Fourth Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2018,Third Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2019,Mid Year Semi-Annual,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2019,Year End Semi-Annual,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2020,First Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2020,Fourth Quarter,,,
MECKLENBURG COUNTY DEMOCRATIC PARTY PRECINT 210,2020,Second Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2016,Fourth Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2016,Second Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2016,Third Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2018,First Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2019,Mid Year Semi-Annual,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2019,Year End Semi-Annual,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2020,First Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2020,Fourth Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2020,Second Quarter,,,
MECKLENBURG COUNTY SENIOR DEMOCRATS,2020,Third Quarter,X,,
MECKLENBURG CTY BAIL AGENTS PAC,2000,Fourth Quarter,X,,
MECKLENBURG CTY BAIL AGENTS PAC,2000,Second Quarter,X,,
MECKLENBURG CTY BAIL AGENTS PAC,2000,Third Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2001,Year End Semi-Annual,,,
MECKLENBURG CTY BAIL AGENTS PAC,2002,Mid Year Semi-Annual,,,
MECKLENBURG CTY BAIL AGENTS PAC,2004,Fourth Quarter,X,,
MECKLENBURG CTY BAIL AGENTS PAC,2006,Third Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2008,Fourth Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2008,Second Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2008,Third Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2009,Mid Year Semi-Annual,,,
MECKLENBURG CTY BAIL AGENTS PAC,2009,Year End Semi-Annual,,,
MECKLENBURG CTY BAIL AGENTS PAC,2010,First Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2010,Fourth Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2010,Second Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2010,Third Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2011,Mid Year Semi-Annual,,,
MECKLENBURG CTY BAIL AGENTS PAC,2011,Year End Semi-Annual,,,
MECKLENBURG CTY BAIL AGENTS PAC,2011,Year End Semi-Annual,X,,
MECKLENBURG CTY BAIL AGENTS PAC,2012,Final,,,
MECKLENBURG CTY BAIL AGENTS PAC,2012,Final,X,,
MECKLENBURG CTY BAIL AGENTS PAC,2012,First Quarter,,,
MECKLENBURG CTY BAIL AGENTS PAC,2012,First Quarter,X,,
MECKLENBURG CTY BAIL AGENTS PAC,2012,Second Quarter,,,
MECKLENBURG CTY MED SOC PAC,2008,Fourth Quarter,,,
MECKLENBURG CTY MED SOC PAC,2008,Second Quarter,,,
MECKLENBURG CTY MED SOC PAC,2008,Third Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2009,Mid Year Semi-Annual,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2009,Year End Semi-Annual,,,
